,Organization Group,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,Community Health,1612314085.8500037,1666675068.8000023,1755966811.8600004,1887998343.2699971,1992194911.0500019,1966343862.4299989,2329132399.260001,2212122394.48,2327420365.2999983,2453308723.030003,2705308026.4699993,2888227645.870004,2671794225.729999,2925925970.0199933,3432466933.989998,3254669970.080004,3390694218.0599966,3252868638.5599995,3561006318.9100027
1,Culture & Recreation,382546706.34999955,458306735.45999944,675308178.5400002,432930747.1500008,628184308.8199991,301059904.1200001,412656469.97999996,377670514.71000034,400392707.83000046,482785619.91999906,514780665.5899998,506568137.90000135,471210910.4899997,542361426.7500001,592526282.739999,556638451.9200002,657948940.1200013,901475927.9100003,648557947.829999
2,General Administration & Finance,1526018509.8300035,3909662231.179991,340820515.00999963,1161023995.3399994,2256167570.4999933,2400659254.880003,2487618462.0299983,2723535855.240005,2986637477.440006,3267007079.1599917,3378830982.8699994,3487276041.1999946,3853318507.2399983,4314199845.589994,4259892668.360012,4448083766.500007,5182779439.570008,5389632400.550027,5587065523.049994
3,General City Responsibilities,1270159030.7300003,1309816022.53,1493750047.8899996,1517575481.01,1399779036.9600005,1644321914.5599995,1604908966.1699996,1741225032.6400006,1848696117.6100006,1908207307.9800005,2024137159.1299999,2105828692.8600004,2286421181.5199995,2465609549.669999,2495881753.8100004,2732683001.9200015,3016058537.4999986,3094903971.819999,3554021227.66
4,Human Welfare & Neighborhood Development,849311481.0200001,854355699.9500011,948798925.6199992,1063567050.7200005,1108113628.3799996,1222138040.7799995,1574984653.050002,1787387613.9000008,1820609984.970001,1943584714.3200018,2137295058.6700003,2375064386.390001,2080685424.1900008,2253364781.5600004,2348008051.660003,2490060057.289997,2608696356.5799994,2936552447.209996,3128494467.4399943
5,Public Protection,931025620.9600006,1005085736.3700002,1024477676.3799978,1036655395.6699977,1090154190.8800015,1056840423.3600004,1146008193.0999997,1250613341.1500013,1310564966.799996,1405172137.5199955,1361873289.2200007,1365537780.0000007,1403654114.0199964,1464716311.7900004,1549459353.2499971,1602411496.59,1631839354.31,1725217421.989996,1779477119.6399984
7,"Public Works, Transportation & Commerce",4780520248.610011,4599661603.070029,5322671378.580002,4868351964.720019,4496669687.799993,4384721399.509993,4271709934.63,5037253094.429979,5309552470.569993,5193301723.670007,5607923666.030001,7498776458.009997,7530712556.659986,8454934201.200002,8609976682.10998,8731191887.459982,8049306800.470005,9111916860.979963,8288559494.46999
