,Department,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CTA SF County Transprtn Auth,CTA SF County Transprtn Auth,143879820.58,182034577.43,218156165.03,170422999.96000004,263324437.54999998,165084739.63,117502363.94999999,167253194.21000004,134675691.51999998,156141201.51000002,162880132.0,178841754.83,247163747.78,200565424.67000002,169646420.82,162998879.63000003,376802878.13000005,448208860.05,340447646.49
DAT District Attorney,DAT District Attorney,51828322.30999998,65470180.95000001,32280025.059999995,32700588.6,37979645.28,34795396.92,38022428.589999974,39207508.24999999,43486809.79000002,43127427.129999995,43169579.630000025,45743542.86000004,44476410.759999976,47066085.83000002,47380555.03000001,52832475.04000001,53669176.25000001,62290293.20999999,62940487.28000001
DBI Building Inspection,DBI Building Inspection,55293617.990000024,53699491.570000015,59146064.69999998,68723294.89999998,65743257.73999998,66324227.390000015,66653261.330000035,78900856.96000002,92584691.50999998,86413931.05000003,82092867.10000005,81317713.74,84111817.73000002,97798115.61999999,111999567.50000003,128145679.86999997,131700706.79999998,145241720.00999993,146526745.59999993
DEM Emergency Management,DEM Emergency Management,96481886.01999998,80605604.88999997,51470869.29999998,42811591.62,57606187.609999955,57435330.44,84094849.06000002,121836562.20999992,152163147.7,176882284.21,146290171.62999994,111265484.54999997,131879229.99000004,139140260.41,145236150.67000002,127806531.04000008,104213745.08000001,97532374.31999995,97047292.72000003
DPH Public Health,DPH Public Health,1612314085.8500037,1666675068.8000023,1755966811.8600004,1887998343.2699971,1992194911.0500019,1966343862.4299989,2329132399.260001,2212122394.48,2327420365.2999983,2453308723.030003,2705308026.4699993,2888227645.870004,2671794225.729999,2925925970.0199933,3432466933.989998,3254669970.080004,3390694218.0599966,3252868638.5599995,3561006318.9100027
DPW GSA - Public Works,DPW GSA - Public Works,498984902.31999934,384795532.79999983,431423545.98000044,368208874.09999996,409918888.6899995,329160688.6600004,334835032.5299998,560922680.6299994,777540138.4700003,480527601.0999993,522938151.3400001,534968790.83000106,584582724.6799995,807965518.9000002,782908783.9900007,701311991.6499987,498569094.4600002,737803758.3800007,395360808.7699991
DT GSA - Technology,DT GSA - Technology,24000821.64999998,17097084.73999999,30413564.80999999,6210191.190000037,5206960.720000032,4003445.420000002,5175847.140000014,7288868.690000005,8852156.899999993,16756205.169999937,2829932.8499999843,-3329295.6200000728,1830760.8399999016,6263315.069999972,13047910.350000031,11542720.53999992,5003711.240000042,12862120.26000001,15773270.34000002
ECN Economic & Wrkfrce Dvlpmnt,ECN Economic & Wrkfrce Dvlpmnt,20342157.790000014,25195407.119999994,16628370.579999994,22542475.29999999,-3289769.4699999923,24025747.34,23426421.18999999,24319201.209999993,5141807.610000003,15861062.209999993,17932552.82,28486501.739999987,38600989.55,48034863.34,43751971.640000015,59028776.219999954,49283516.989999995,41895576.709999956,50214651.429999985
ENV Environment,ENV Environment,235346.43999999992,409167.69999999995,11893906.219999999,17896111.41,30131848.900000013,19603088.099999994,18236455.030000005,17424823.88,20734932.310000002,26419437.079999994,29925361.819999985,34926951.69999999,37874834.79000002,42450856.91000004,48753916.23000003,38250129.96000001,35923733.360000014,38918682.19999998,39703733.809999965
ETH Ethics Commission,ETH Ethics Commission,532978.11,636248.1300000001,807719.2799999999,904341.9499999997,1473576.37,1001412.44,2129136.07,1449549.2199999997,2000424.2999999996,2641486.4500000007,3236727.7800000003,2714360.97,5916817.850000001,4181628.4099999997,3544038.6899999995,2385804.83,2759202.6500000004,3262832.8300000005,3720622.38
