race,year,stops
black,2014,19077
black,2015,22500
black,2016,20032
black,2017,19185
black,2018,10874
asian,2014,2316
asian,2015,2483
asian,2016,1648
asian,2017,1553
asian,2018,1371
hispanic,2014,6101
hispanic,2015,7496
hispanic,2016,6590
hispanic,2017,6855
hispanic,2018,4483
white,2014,4615
white,2015,4328
white,2016,3256
white,2017,2805
white,2018,2277
other,2014,1142
other,2015,1148
other,2016,1043
other,2017,1130
other,2018,895
