YEAR,COUNTY,ST_TOTAL,ST_LE_TOTAL,ST_LE_SWORN,ST_LE_NONSWORN,ST_OTH_FUNDED_TOTAL,ST_OTH_FUNDED_SWORN,ST_OTH_FUNDED_NONSWORN,CNTY_TOTAL,CNTY_LE_TOTAL,CNTY_LE_SWORN,CNTY_LE_NONSWORN,CNTY_OTH_FUNDED_TOTAL,CNTY_OTH_FUNDED_SWORN,CNTY_OTH_FUNDED_NONSWORN,SO_FUNDED_TOTAL,SO_FUNDED_SWORN,SO_FUNDED_NONSWORN,PD_FUNDED_TOTAL,PD_FUNDED_SWORN,PD_FUNDED_NONSWORN,CHP_FUNDED_TOTAL,CHP_FUNDED_SWORN,CHP_FUNDED_NONSWORN,Prosecution,DA_Attorneys,DA_Investigators,DA_Clerical,DA_Other,PublicDefense,PD_Attorneys,PD_Investigators,PD_Clerical,PD_Other,ProbationDept,ProbationOfficers,PROB_Other
2005,Modoc County,43,33,28,5, , , ,43,33,28,5, , , ,23,19,4,10,9,1, , , ,5,1,1,2,1, , , , , ,5,3,2
2005,Mono County,82,68,46,22, , , ,82,68,46,22, , , ,43,26,17,25,20,5, , , ,7,3,1,2,1, , , , , ,7,5,2
2005,Monterey County,1394,971,739,232,24,21,3,1394,971,739,232,24,21,3,430,325,105,517,393,124, , , ,123,49,31,40,3,44,24,7,11,2,256,178,78
2005,Napa County,525,361,271,90,100,94,6,525,361,271,90,100,94,6,113,85,28,148,92,56, , , ,49,22,9,15,3,22,14,2,5,1,93,39,54
2005,Nevada County,362,261,126,135, , , ,362,261,126,135, , , ,186,69,117,75,57,18, , , ,28,12,2,14,0,12,8,0,4,0,61,21,40
2005,Orange County,9640,7283,4381,2902,68,49,19,9640,7283,4381,2902,68,49,19,3258,1700,1558,3957,2632,1325, , , ,648,249,144,136,119,378,204,70,61,43,1331,379,952
2005,Placer County,954,717,432,285, , , ,954,717,432,285, , , ,386,210,176,331,222,109, , , ,101,35,13,51,2, , , , , ,136,102,34
2005,Plumas County,95,70,35,35, , , ,95,70,35,35, , , ,70,35,35, , , , , , ,10,3,3,2,2, , , , , ,15,10,5
2005,Riverside County,6006,4607,2709,1898,58,43,15,6006,4607,2709,1898,58,43,15,3033,1641,1392,1516,1025,491, , , ,496,176,74,148,98,174,94,31,28,21,729,263,466
2005,Sacramento County,15695,14349,10085,4264,1038,869,169,4733,3387,2304,1083,54,41,13,2165,1482,683,1168,781,387,9978,6953,3025,433,168,48,94,123,148,96,25,22,5,765,624,141
2005,San Benito County,123,94,56,38, , , ,123,94,56,38, , , ,60,27,33,34,29,5, , , ,9,4,1,3,1, , , , , ,20,16,4
2005,San Bernardino County,6640,4906,2855,2051,166,62,104,6640,4906,2855,2051,166,62,104,2930,1573,1357,1810,1220,590, , , ,453,206,51,148,48,177,106,23,43,5,1104,369,735
2005,San Diego County,10648,8179,5399,2780,284,207,77,10648,8179,5399,2780,284,207,77,3620,2122,1498,4275,3070,1205, , , ,913,300,170,252,191,309,182,43,51,33,1247,936,311
2005,San Francisco County,4400,3645,3068,577,163,79,84,4400,3645,3068,577,163,79,84,929,796,133,2553,2193,360, , , ,254,127,40,25,62,142,88,17,30,7,359,153,206
2005,San Joaquin County,2269,1681,940,741,20,16,4,2269,1681,940,741,20,16,4,698,282,416,963,642,321, , , ,204,82,46,49,27,86,52,16,16,2,298,111,187
2005,San Luis Obispo County,1048,800,506,294,182,153,29,1048,800,506,294,182,153,29,332,144,188,286,209,77, , , ,88,33,15,18,22, , , , , ,160,108,52
2005,San Mateo County,2242,1689,1179,510, , , ,2242,1689,1179,510, , , ,556,363,193,1133,816,317, , , ,124,55,11,37,21, , , , , ,429,320,109
2005,Santa Barbara County,1732,1127,601,526,65,36,29,1732,1127,601,526,65,36,29,625,265,360,437,300,137, , , ,140,49,23,42,26,72,34,10,22,6,393,265,128
2005,Santa Clara County,5249,3727,2732,995,102,52,50,5249,3727,2732,995,102,52,50,681,494,187,2944,2186,758, , , ,497,184,95,91,127,206,109,29,34,34,819,304,515
2005,Santa Cruz County,800,605,353,252,43,18,25,800,605,353,252,43,18,25,300,142,158,262,193,69, , , ,81,33,15,21,12, , , , , ,114,85,29
2005,Shasta County,593,420,236,184, , , ,593,420,236,184, , , ,229,105,124,191,131,60, , , ,65,23,11,19,12, , , , , ,108,42,66
2005,Sierra County,21,15,10,5, , , ,21,15,10,5, , , ,15,10,5, , , , , , ,2,1,0,1,0, , , , , ,4,3,1
2005,Siskiyou County,254,193,138,55, , , ,254,193,138,55, , , ,128,96,32,65,42,23, , , ,25,8,5,4,8,4,3,0,1,0,32,15,17
2005,Solano County,1577,1101,560,541,7,6,1,1577,1101,560,541,7,6,1,438,107,331,656,447,209, , , ,123,56,10,41,16,82,50,9,23,0,271,204,67
2005,Sonoma County,1716,1235,650,585,42,22,20,1716,1235,650,585,42,22,20,653,273,380,540,355,185, , , ,104,43,15,43,3,47,27,8,11,1,330,103,227
2005,Stanislaus County,1630,1229,685,544,20,11,9,1630,1229,685,544,20,11,9,590,233,357,619,441,178, , , ,135,50,21,41,23,44,27,3,11,3,222,171,51
2005,Sutter County,259,197,149,48, , , ,259,197,149,48, , , ,124,99,25,73,50,23, , , ,24,8,8,5,3, , , , , ,38,32,6
2005,Tehama County,246,164,115,49, , , ,246,164,115,49, , , ,106,78,28,58,37,21, , , ,24,8,5,8,3, , , , , ,58,24,34
2005,Trinity County,65,39,20,19, , , ,65,39,20,19, , , ,39,20,19, , , , , , ,9,3,2,2,2, , , , , ,17,8,9
2005,Tulare County,1609,1070,760,310,6,5,1,1609,1070,760,310,6,5,1,640,451,189,424,304,120, , , ,169,60,44,35,30,69,35,10,11,13,301,99,202
2005,Tuolumne County,210,150,84,66, , , ,210,150,84,66, , , ,131,69,62,19,15,4, , , ,22,7,3,7,5,7,4,1,2,0,31,17,14
2005,Ventura County,2658,1903,1228,675,19,14,5,2658,1903,1228,675,19,14,5,1095,681,414,789,533,256, , , ,234,81,56,49,48,76,49,10,11,6,445,343,102
2005,Yolo County,837,598,318,280,69,40,29,837,598,318,280,69,40,29,232,82,150,297,196,101, , , ,95,30,27,22,16,32,22,4,6,0,112,36,76
2005,Yuba County,326,202,152,50, , , ,326,202,152,50, , , ,162,123,39,40,29,11, , , ,17,10,3,3,1, , , , , ,107,33,74
2006,Alameda County,5632,4530,2911,1619,248,145,103,5632,4530,2911,1619,248,145,103,1535,935,600,2747,1831,916, , , ,339,151,66,100,22,179,113,20,40,6,584,199,385
2006,Alpine County,21,16,12,4, , , ,21,16,12,4, , , ,16,12,4, , , , , , ,3,1,0,2,0, , , , , ,2,1,1
2006,Amador County,170,118,69,49, , , ,170,118,69,49, , , ,91,45,46,27,24,3, , , ,34,10,14,9,1, , , , , ,18,12,6
2006,Butte County,792,551,295,256,28,17,11,792,551,295,256,28,17,11,269,108,161,254,170,84, , , ,91,26,27,30,8, , , , , ,150,59,91
2006,Calaveras County,140,111,65,46, , , ,140,111,65,46, , , ,101,56,45,10,9,1, , , ,16,7,2,6,1, , , , , ,13,9,4
2006,Colusa County,103,76,45,31, , , ,103,76,45,31, , , ,57,29,28,19,16,3, , , ,9,2,2,4,1, , , , , ,18,11,7
2006,Contra Costa County,3211,2545,1783,762,300,197,103,2942,2276,1607,669,31,21,10,1032,711,321,1213,875,338, , , ,154,87,18,35,14,135,87,10,20,18,377,140,237
2006,Del Norte County,113,70,40,30, , , ,113,70,40,30, , , ,58,29,29,12,11,1, , , ,13,6,3,4,0, , , , , ,30,9,21
2006,El Dorado County,669,457,248,209, , , ,669,457,248,209, , , ,368,192,176,89,56,33, , , ,59,20,11,15,13,30,22,2,6,0,123,99,24
2006,Fresno County,3713,2790,1607,1183,43,30,13,3713,2790,1607,1183,43,30,13,1126,489,637,1621,1088,533, , , ,264,114,60,69,21,111,69,12,22,8,548,424,124
2006,Glenn County,128,92,48,44, , , ,128,92,48,44, , , ,68,28,40,24,20,4, , , ,9,3,2,4,0, , , , , ,27,9,18
2006,Humboldt County,592,388,278,110,21,10,11,592,388,278,110,21,10,11,223,171,52,144,97,47, , , ,55,16,9,20,10,30,17,4,9,0,119,87,32
2006,Imperial County,651,473,332,141, , , ,651,473,332,141, , , ,256,174,82,217,158,59, , , ,44,15,10,17,2,24,14,4,6,0,110,53,57
2006,Inyo County,139,89,64,25, , , ,139,89,64,25, , , ,70,51,19,19,13,6, , , ,13,4,3,4,2, , , , , ,37,12,25
2006,Kern County,2624,1813,964,849,15,11,4,2624,1813,964,849,15,11,4,1099,480,619,699,473,226, , , ,161,67,41,45,8,81,53,12,14,2,569,239,330
2006,Kings County,506,343,187,156, , , ,506,343,187,156, , , ,208,86,122,135,101,34, , , ,41,18,9,11,3, , , , , ,122,46,76
2006,Lake County,258,186,92,94, , , ,258,186,92,94, , , ,143,56,87,43,36,7, , , ,27,11,7,8,1, , , , , ,45,24,21
2006,Lassen County,157,110,87,23, , , ,157,110,87,23, , , ,91,70,21,19,17,2, , , ,12,4,2,4,2,5,3,0,1,1,30,12,18
2006,Los Angeles County,42886,34507,22820,11687,275,171,104,42886,34507,22820,11687,275,171,104,14340,8459,5881,19892,14190,5702, , , ,2032,957,271,532,272,990,685,68,160,77,5357,2349,3008
2006,Madera County,345,208,149,59, , , ,345,208,149,59, , , ,107,76,31,101,73,28, , , ,32,15,7,8,2, , , , , ,105,45,60
2006,Marin County,897,643,454,189,6,5,1,897,643,454,189,6,5,1,305,199,106,332,250,82, , , ,92,37,9,32,14,46,27,4,12,3,116,60,56
2006,Mariposa County,92,71,57,14, , , ,92,71,57,14, , , ,71,57,14, , , , , , ,8,3,1,3,1, , , , , ,13,8,5
2006,Mendocino County,403,248,184,64, , , ,403,248,184,64, , , ,171,129,42,77,55,22, , , ,52,17,7,20,8,21,14,3,3,1,82,40,42
2006,Merced County,783,540,399,141,15,8,7,783,540,399,141,15,8,7,238,189,49,287,202,85, , , ,75,23,16,28,8,18,13,0,5,0,150,55,95
2006,Modoc County,43,32,28,4, , , ,43,32,28,4, , , ,25,22,3,7,6,1, , , ,5,1,1,2,1, , , , , ,6,4,2
2006,Mono County,84,69,47,22, , , ,84,69,47,22, , , ,43,26,17,26,21,5, , , ,8,4,1,2,1, , , , , ,7,5,2
2006,Monterey County,1405,948,717,231,23,20,3,1405,948,717,231,23,20,3,418,312,106,507,385,122, , , ,124,49,28,44,3,43,25,7,9,2,290,202,88
2006,Napa County,528,360,269,91,94,88,6,528,360,269,91,94,88,6,122,88,34,144,93,51, , , ,45,20,8,15,2,24,15,3,5,1,99,42,57
2006,Nevada County,356,258,126,132, , , ,356,258,126,132, , , ,186,70,116,72,56,16, , , ,25,11,2,11,1,13,9,0,4,0,60,21,39
2006,Orange County,9938,7521,4413,3108,70,47,23,9938,7521,4413,3108,70,47,23,3396,1695,1701,4055,2671,1384, , , ,642,247,130,120,145,387,207,75,61,44,1388,405,983
2006,Placer County,1031,780,443,337, , , ,1031,780,443,337, , , ,424,207,217,356,236,120, , , ,112,42,11,57,2, , , , , ,139,105,34
2006,Plumas County,95,70,35,35, , , ,95,70,35,35, , , ,70,35,35, , , , , , ,10,3,3,2,2, , , , , ,15,10,5
2006,Riverside County,6712,5016,2949,2067,53,40,13,6712,5016,2949,2067,53,40,13,3342,1818,1524,1621,1091,530, , , ,638,238,106,190,104,224,119,40,33,32,834,313,521
2006,Sacramento County,15777,14359,9959,4400,1033,867,166,4904,3486,2330,1156,61,45,16,2003,1392,611,1422,893,529,9901,6807,3094,468,182,52,104,130,156,102,25,24,5,794,646,148
2006,San Benito County,128,99,59,40, , , ,128,99,59,40, , , ,65,30,35,34,29,5, , , ,9,4,1,3,1, , , , , ,20,16,4
2006,San Bernardino County,7074,5206,3052,2154,141,67,74,7074,5206,3052,2154,141,67,74,3246,1761,1485,1819,1224,595, , , ,473,217,63,136,57,197,108,27,56,6,1198,372,826
2006,San Diego County,10690,8175,5270,2905,284,203,81,10690,8175,5270,2905,284,203,81,3679,2112,1567,4212,2955,1257, , , ,915,298,166,245,206,324,198,47,52,27,1276,962,314
2006,San Francisco County,4408,3631,3067,564,160,75,85,4408,3631,3067,564,160,75,85,930,790,140,2541,2202,339, , , ,268,130,42,26,70,148,90,17,34,7,361,165,196
2006,San Joaquin County,2332,1719,968,751,21,15,6,2332,1719,968,751,21,15,6,717,289,428,981,664,317, , , ,227,89,51,54,33,90,55,16,16,3,296,110,186
2006,San Luis Obispo County,1070,822,500,322,172,143,29,1070,822,500,322,172,143,29,354,150,204,296,207,89, , , ,85,33,15,18,19, , , , , ,163,108,55
2006,San Mateo County,2356,1760,1261,499, , , ,2356,1760,1261,499, , , ,640,442,198,1120,819,301, , , ,128,55,11,38,24, , , , , ,468,171,297
2006,Santa Barbara County,1773,1166,651,515,63,32,31,1773,1166,651,515,63,32,31,667,314,353,436,305,131, , , ,142,51,23,42,26,71,34,10,21,6,394,263,131
2006,Santa Clara County,5295,3756,2732,1024,119,55,64,5295,3756,2732,1024,119,55,64,683,487,196,2954,2190,764, , , ,494,186,92,106,110,200,102,26,66,6,845,304,541
2006,Santa Cruz County,808,600,341,259,43,16,27,808,600,341,259,43,16,27,298,134,164,259,191,68, , , ,85,33,13,25,14, , , , , ,123,91,32
2006,Shasta County,584,393,243,150, , , ,584,393,243,150, , , ,194,106,88,199,137,62, , , ,70,24,14,17,15, , , , , ,121,51,70
2006,Sierra County,22,15,11,4, , , ,22,15,11,4, , , ,15,11,4, , , , , , ,3,1,1,1,0, , , , , ,4,3,1
2006,Siskiyou County,267,192,139,53, , , ,267,192,139,53, , , ,131,99,32,61,40,21, , , ,28,8,6,6,8,8,5,0,3,0,39,17,22
2006,Solano County,1612,1131,569,562,7,6,1,1612,1131,569,562,7,6,1,450,110,340,674,453,221, , , ,124,56,10,47,11,81,50,8,22,1,276,211,65
2006,Sonoma County,1677,1264,682,582,45,25,20,1677,1264,682,582,45,25,20,672,289,383,547,368,179, , , ,108,43,14,48,3,49,29,8,11,1,256,92,164
2006,Stanislaus County,1654,1252,931,321,22,11,11,1654,1252,931,321,22,11,11,592,467,125,638,453,185, , , ,142,53,21,43,25,45,28,3,12,2,215,179,36
2006,Sutter County,279,219,161,58, , , ,279,219,161,58, , , ,125,98,27,94,63,31, , , ,25,11,8,5,1, , , , , ,35,30,5
2006,Tehama County,243,164,113,51, , , ,243,164,113,51, , , ,104,75,29,60,38,22, , , ,21,6,5,7,3, , , , , ,58,24,34
2006,Trinity County,71,38,18,20, , , ,71,38,18,20, , , ,38,18,20, , , , , , ,9,3,2,2,2, , , , , ,24,10,14
2006,Tulare County,1700,1126,816,310,6,5,1,1700,1126,816,310,6,5,1,694,499,195,426,312,114, , , ,181,62,46,38,35,76,39,11,12,14,317,101,216
2006,Tuolumne County,212,150,79,71, , , ,212,150,79,71, , , ,132,65,67,18,14,4, , , ,22,7,3,7,5,7,4,1,2,0,33,19,14
2006,Ventura County,2780,2031,1297,734,36,31,5,2780,2031,1297,734,36,31,5,1216,733,483,779,533,246, , , ,233,80,56,47,50,78,49,10,11,8,438,338,100
2006,Yolo County,874,620,330,290,67,41,26,874,620,330,290,67,41,26,252,91,161,301,198,103, , , ,98,33,32,20,13,33,22,4,7,0,123,42,81
2006,Yuba County,334,211,159,52, , , ,334,211,159,52, , , ,170,129,41,41,30,11, , , ,17,10,3,3,1, , , , , ,106,35,71
2007,Alameda County,5770,4649,2968,1681,232,144,88,5770,4649,2968,1681,232,144,88,1612,967,645,2805,1857,948, , , ,335,148,64,98,25,182,115,20,37,10,604,242,362
2007,Alpine County,25,20,15,5, , , ,25,20,15,5, , , ,20,15,5, , , , , , ,3,1,0,2,0, , , , , ,2,1,1
2007,Amador County,162,114,69,45, , , ,162,114,69,45, , , ,88,45,43,26,24,2, , , ,28,8,10,9,1, , , , , ,20,13,7
2007,Butte County,793,555,292,263,29,19,10,793,555,292,263,29,19,10,280,112,168,246,161,85, , , ,86,26,26,26,8, , , , , ,152,64,88
2007,Calaveras County,156,121,73,48, , , ,156,121,73,48, , , ,111,64,47,10,9,1, , , ,18,8,3,6,1, , , , , ,17,12,5
2007,Colusa County,106,80,49,31, , , ,106,80,49,31, , , ,59,31,28,21,18,3, , , ,9,2,2,3,2, , , , , ,17,10,7
2007,Contra Costa County,3338,2623,1856,767,315,219,96,3057,2342,1660,682,34,23,11,1005,674,331,1303,963,340, , , ,169,95,20,40,14,131,79,10,19,23,415,166,249
2007,Del Norte County,119,75,45,30, , , ,119,75,45,30, , , ,62,32,30,13,13,0, , , ,12,4,4,3,1, , , , , ,32,11,21
2007,El Dorado County,690,458,248,210, , , ,690,458,248,210, , , ,372,196,176,86,52,34, , , ,73,25,19,18,11,32,24,2,5,1,127,99,28
2007,Fresno County,3919,2916,1637,1279,44,33,11,3919,2916,1637,1279,44,33,11,1197,487,710,1675,1117,558, , , ,295,134,65,75,21,125,76,18,23,8,583,444,139
2007,Glenn County,128,95,51,44, , , ,128,95,51,44, , , ,68,29,39,27,22,5, , , ,10,3,2,4,1, , , , , ,23,9,14
2007,Humboldt County,586,386,274,112,19,11,8,586,386,274,112,19,11,8,216,164,52,151,99,52, , , ,54,16,9,20,9,30,17,4,9,0,116,84,32
2007,Imperial County,661,483,336,147, , , ,661,483,336,147, , , ,261,177,84,222,159,63, , , ,49,21,10,15,3,24,14,4,6,0,105,53,52
2007,Inyo County,140,90,65,25, , , ,140,90,65,25, , , ,70,51,19,20,14,6, , , ,13,4,3,4,2, , , , , ,37,12,25
2007,Kern County,2579,1827,986,841,15,11,4,2579,1827,986,841,15,11,4,1083,476,607,729,499,230, , , ,178,75,46,50,7,89,54,13,19,3,485,209,276
2007,Kings County,520,351,175,176, , , ,520,351,175,176, , , ,221,81,140,130,94,36, , , ,47,19,12,13,3, , , , , ,122,50,72
2007,Lake County,276,196,92,104, , , ,276,196,92,104, , , ,150,57,93,46,35,11, , , ,32,13,8,9,2, , , , , ,48,24,24
2007,Lassen County,161,109,85,24, , , ,161,109,85,24, , , ,91,69,22,18,16,2, , , ,11,4,1,4,2,7,3,1,2,1,34,14,20
2007,Los Angeles County,44602,36100,23928,12172,298,181,117,44602,36100,23928,12172,298,181,117,15651,9278,6373,20151,14469,5682, , , ,2101,1016,277,504,304,1040,716,74,153,97,5361,2505,2856
2007,Madera County,372,215,153,62, , , ,372,215,153,62, , , ,110,76,34,105,77,28, , , ,38,17,9,10,2, , , , , ,119,53,66
2007,Marin County,918,673,477,196,7,6,1,918,673,477,196,7,6,1,316,209,107,350,262,88, , , ,91,37,9,31,14,46,27,4,12,3,108,57,51
2007,Mariposa County,98,75,60,15, , , ,98,75,60,15, , , ,75,60,15, , , , , , ,8,3,1,3,1, , , , , ,15,8,7
2007,Mendocino County,403,242,180,62, , , ,403,242,180,62, , , ,163,127,36,79,53,26, , , ,52,17,7,20,8,27,17,4,3,3,82,40,42
2007,Merced County,829,580,430,150,16,9,7,829,580,430,150,16,9,7,255,199,56,309,222,87, , , ,74,25,16,24,9,18,13,0,5,0,157,62,95
2007,Modoc County,46,33,28,5, , , ,46,33,28,5, , , ,26,22,4,7,6,1, , , ,7,2,1,2,2, , , , , ,6,4,2
2007,Mono County,85,69,48,21, , , ,85,69,48,21, , , ,43,26,17,26,22,4, , , ,8,4,1,2,1, , , , , ,8,6,2
2007,Monterey County,1458,1002,757,245,23,20,3,1458,1002,757,245,23,20,3,431,317,114,548,420,128, , , ,125,50,28,44,3,48,27,7,12,2,283,195,88
2007,Napa County,536,368,284,84,102,98,4,536,368,284,84,102,98,4,123,93,30,143,93,50, , , ,45,20,8,15,2,23,14,3,5,1,100,43,57
2007,Nevada County,368,269,134,135, , , ,368,269,134,135, , , ,191,71,120,78,63,15, , , ,26,11,2,12,1,13,9,0,4,0,60,20,40
2007,Orange County,10302,7770,4524,3246,75,54,21,10302,7770,4524,3246,75,54,21,3555,1753,1802,4140,2717,1423, , , ,724,272,194,111,147,407,222,75,61,49,1401,401,1000
2007,Placer County,1055,803,499,304, , , ,1055,803,499,304, , , ,441,259,182,362,240,122, , , ,112,41,12,54,5, , , , , ,140,106,34
2007,Plumas County,94,73,38,35, , , ,94,73,38,35, , , ,73,38,35, , , , , , ,10,3,3,3,1, , , , , ,11,7,4
2007,Riverside County,7193,5341,3121,2220,58,42,16,7193,5341,3121,2220,58,42,16,3640,1965,1675,1643,1114,529, , , ,749,244,127,249,129,249,135,42,38,34,854,317,537
2007,Sacramento County,17208,15716,10719,4997,934,792,142,5366,3874,2505,1369,67,47,20,2296,1419,877,1511,1039,472,10975,7469,3506,481,186,52,103,140,155,107,24,18,6,856,689,167
2007,San Benito County,134,101,60,41, , , ,134,101,60,41, , , ,67,32,35,34,28,6, , , ,11,5,1,4,1, , , , , ,22,17,5
2007,San Bernardino County,7386,5423,3127,2296,135,59,76,7386,5423,3127,2296,135,59,76,3378,1783,1595,1910,1285,625, , , ,499,227,72,145,55,214,117,28,56,13,1250,376,874
2007,San Diego County,10897,8299,5393,2906,299,214,85,10897,8299,5393,2906,299,214,85,3791,2191,1600,4209,2988,1221, , , ,967,318,173,252,224,343,205,47,66,25,1288,969,319
2007,San Francisco County,4665,3853,3241,612,169,73,96,4665,3853,3241,612,169,73,96,1005,831,174,2679,2337,342, , , ,272,134,41,20,77,159,93,18,30,18,381,175,206
2007,San Joaquin County,2437,1777,977,800,25,19,6,2437,1777,977,800,25,19,6,737,296,441,1015,662,353, , , ,257,97,55,57,48,95,58,18,16,3,308,123,185
2007,San Luis Obispo County,1118,854,511,343,166,134,32,1118,854,511,343,166,134,32,383,162,221,305,215,90, , , ,93,34,15,24,20, , , , , ,171,114,57
2007,San Mateo County,2356,1760,1260,500, , , ,2356,1760,1260,500, , , ,633,433,200,1127,827,300, , , ,130,55,12,38,25, , , , , ,466,208,258
2007,Santa Barbara County,1796,1194,639,555,64,36,28,1796,1194,639,555,64,36,28,688,309,379,442,294,148, , , ,142,51,23,42,26,68,34,10,18,6,392,263,129
2007,Santa Clara County,5396,3808,2804,1004,102,53,49,5396,3808,2804,1004,102,53,49,692,517,175,3014,2234,780, , , ,530,185,91,147,107,207,107,28,40,32,851,304,547
2007,Santa Cruz County,827,609,342,267,46,19,27,827,609,342,267,46,19,27,312,137,175,251,186,65, , , ,86,35,13,25,13, , , , , ,132,98,34
2007,Shasta County,646,438,284,154, , , ,646,438,284,154, , , ,237,147,90,201,137,64, , , ,80,24,18,16,22, , , , , ,128,54,74
2007,Sierra County,22,15,11,4, , , ,22,15,11,4, , , ,15,11,4, , , , , , ,2,1,0,1,0, , , , , ,5,4,1
2007,Siskiyou County,267,194,143,51, , , ,267,194,143,51, , , ,131,99,32,63,44,19, , , ,26,7,6,5,8,7,4,0,3,0,40,16,24
2007,Solano County,1704,1191,599,592,6,4,2,1704,1191,599,592,6,4,2,480,118,362,705,477,228, , , ,137,62,12,47,16,86,53,8,24,1,290,225,65
2007,Sonoma County,1749,1320,929,391,43,23,20,1749,1320,929,391,43,23,20,729,534,195,548,372,176, , , ,111,48,15,44,4,51,30,9,11,1,267,106,161
2007,Stanislaus County,1711,1294,713,581,22,11,11,1711,1294,713,581,22,11,11,616,233,383,656,469,187, , , ,134,47,21,38,28,50,32,5,12,1,233,209,24
2007,Sutter County,295,231,167,64, , , ,295,231,167,64, , , ,129,100,29,102,67,35, , , ,26,11,9,5,1, , , , , ,38,31,7
2007,Tehama County,239,164,109,55, , , ,239,164,109,55, , , ,105,72,33,59,37,22, , , ,24,7,7,7,3, , , , , ,51,20,31
2007,Trinity County,73,41,20,21, , , ,73,41,20,21, , , ,41,20,21, , , , , , ,9,3,2,2,2, , , , , ,23,8,15
2007,Tulare County,1789,1191,804,387,5,4,1,1789,1191,804,387,5,4,1,711,450,261,475,350,125, , , ,188,67,46,39,36,82,42,11,14,15,328,112,216
2007,Tuolumne County,211,149,77,72, , , ,211,149,77,72, , , ,128,60,68,21,17,4, , , ,24,8,4,7,5,7,4,1,2,0,31,17,14
2007,Ventura County,2830,2076,1321,755,48,27,21,2830,2076,1321,755,48,27,21,1224,748,476,804,546,258, , , ,236,86,53,47,50,87,54,12,12,9,431,329,102
2007,Yolo County,920,633,332,301,71,41,30,920,633,332,301,71,41,30,260,87,173,302,204,98, , , ,104,38,34,20,12,35,24,4,7,0,148,48,100
2007,Yuba County,339,213,165,48, , , ,339,213,165,48, , , ,174,137,37,39,28,11, , , ,18,11,3,3,1, , , , , ,108,35,73
2008,Alameda County,5820,4662,3074,1588,218,137,81,5820,4662,3074,1588,218,137,81,1682,1037,645,2762,1900,862, , , ,344,151,63,101,29,179,114,20,34,11,635,267,368
2008,Alpine County,23,18,15,3, , , ,23,18,15,3, , , ,18,15,3, , , , , , ,3,1,0,2,0, , , , , ,2,1,1
2008,Amador County,162,116,72,44, , , ,162,116,72,44, , , ,90,48,42,26,24,2, , , ,26,9,7,9,1, , , , , ,20,12,8
2008,Butte County,781,551,286,265,27,17,10,781,551,286,265,27,17,10,281,113,168,243,156,87, , , ,87,28,26,24,9, , , , , ,143,57,86
2008,Calaveras County,155,120,69,51, , , ,155,120,69,51, , , ,110,60,50,10,9,1, , , ,18,8,3,6,1, , , , , ,17,12,5
2008,Colusa County,111,85,49,36, , , ,111,85,49,36, , , ,64,31,33,21,18,3, , , ,9,2,2,3,2, , , , , ,17,10,7
2008,Contra Costa County,3325,2686,1894,792,321,227,94,3041,2402,1692,710,37,25,12,1004,681,323,1361,986,375, , , ,172,95,22,46,9,112,69,10,17,16,355,191,164
2008,Del Norte County,125,79,46,33, , , ,125,79,46,33, , , ,65,33,32,14,13,1, , , ,12,5,3,3,1, , , , , ,34,11,23
2008,El Dorado County,718,495,264,231, , , ,718,495,264,231, , , ,406,206,200,89,58,31, , , ,64,23,15,16,10,35,27,2,5,1,124,96,28
2008,Fresno County,4072,3059,2286,773,277,256,21,4072,3059,2286,773,277,256,21,1091,899,192,1691,1131,560, , , ,286,134,58,76,18,127,76,18,23,10,600,448,152
2008,Glenn County,123,93,49,44, , , ,123,93,49,44, , , ,68,28,40,25,21,4, , , ,9,3,2,4,0, , , , , ,21,7,14
2008,Humboldt County,594,399,290,109,22,14,8,594,399,290,109,22,14,8,238,184,54,139,92,47, , , ,53,13,9,20,11,30,17,4,9,0,112,81,31
2008,Imperial County,692,512,348,164, , , ,692,512,348,164, , , ,270,180,90,242,168,74, , , ,55,22,10,20,3,24,14,4,6,0,101,53,48
2008,Inyo County,128,76,51,25, , , ,128,76,51,25, , , ,57,38,19,19,13,6, , , ,14,4,3,5,2, , , , , ,38,13,25
2008,Kern County,2866,1940,1423,517,14,10,4,2866,1940,1423,517,14,10,4,1209,908,301,717,505,212, , , ,198,86,51,52,9,101,64,14,21,2,627,287,340
2008,Kings County,538,367,187,180, , , ,538,367,187,180, , , ,228,83,145,139,104,35, , , ,51,19,13,16,3, , , , , ,120,47,73
2008,Lake County,284,199,90,109, , , ,284,199,90,109, , , ,156,58,98,43,32,11, , , ,34,16,8,8,2, , , , , ,51,23,28
2008,Lassen County,158,112,88,24, , , ,158,112,88,24, , , ,94,72,22,18,16,2, , , ,11,4,1,4,2,6,3,1,2,0,29,14,15
2008,Los Angeles County,46086,37068,24390,12678,325,200,125,46086,37068,24390,12678,325,200,125,16393,9513,6880,20350,14677,5673, , , ,2128,1015,298,486,329,1089,738,80,152,119,5801,2535,3266
2008,Madera County,376,218,156,62, , , ,376,218,156,62, , , ,114,79,35,104,77,27, , , ,38,16,10,10,2, , , , , ,120,51,69
2008,Marin County,908,676,479,197,8,7,1,908,676,479,197,8,7,1,321,210,111,347,262,85, , , ,84,34,9,30,11,48,28,5,12,3,100,48,52
2008,Mariposa County,94,69,55,14, , , ,94,69,55,14, , , ,69,55,14, , , , , , ,10,4,1,4,1, , , , , ,15,8,7
