Organization Group,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Community Health,881912746.5899979,884297765.0800004,927158224.1400009,1003654459.8100001,1064095063.7099975,1058670370.7799991,1085581463.8699994,1112981784.069998,1220094592.0699985,1308156453.1999993,1353215736.4900005,1397511051.0500011,1451469136.4600046,1557973313.3900027,1691328176.5800002,1741447249.529998,1794130104.5499997,1909322828.0199997,1949161182.1300006
Culture & Recreation,197467444.18999964,252997163.21999994,289911445.9100002,248809992.91,414004490.9599997,177290282.54000023,181521486.30000007,199667677.68000033,222739944.44000012,242887328.62000036,249870132.39999968,255602947.20999986,260833579.93999952,273390451.4900009,282199846.13000035,295983363.16000044,313605424.3499999,466050522.32999897,360018275.9199995
General Administration & Finance,825176584.3400022,972121185.249998,1015376968.8700044,1071318949.0899992,1141090862.34,1259536934.7199972,1283862704.3200006,1409196722.2199984,1552261942.2200005,1709466416.520005,1768776236.8000016,1806279871.9800017,1975116068.9600017,2109689486.8100019,2144975478.750001,2240198618.90001,2394365501.61,2682615404.5899954,2876694064.619998
General City Responsibilities,171733674.04999998,174540269.96999997,183701970.83000004,288980717.90000004,233966375.83999985,311036000.71000004,246832470.79999992,235146390.83999997,251169945.85000005,274165156.92999995,290579445.77,343322676.6000001,345781313.41999996,362158494.3500001,324336090.59000015,367238643.41,391283695.75,414299839.6199999,428039305.4099999
Human Welfare & Neighborhood Development,463860029.4100001,441069339.5999999,508227829.5799998,559160455.2299997,613705021.6199996,681150018.3099995,673000079.400001,748713326.1999991,814433151.569999,904182279.420001,943589183.2599988,990222213.5300004,940037212.9699999,958480821.4300011,1070583622.9799997,1131055284.8200004,1202185527.410001,1317163525.6100004,1423495149.7000003
Public Protection,685042030.9799992,771135648.5599984,822840718.8899977,823103774.3799989,874827834.0800021,826260911.2500007,886684542.0899987,963700998.730002,1028381150.7799988,1118818556.5499976,1113571483.57,1138246991.86,1151597194.7799983,1199352642.469997,1267413247.9500003,1295625164.4400015,1333975773.1200001,1398936149.019999,1461444672.799999
"Public Works, Transportation & Commerce",2481711032.730007,2456950934.6299953,2656388794.589998,2455332258.9399986,2342222811.1700006,2238239612.210002,2157587895.340004,2363097410.5600076,2786992592.9200025,2762878714.9300113,2896900268.590012,3254778177.6999893,3613409398.6100125,4004832430.1899877,4235159410.399997,4641049817.300006,4180932008.709982,4433689710.129999,4118237607.8800116
