Organization Group,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Sum_1999-2017
Community Health,881912746.5899979,884297765.0800004,927158224.1400009,1003654459.8100001,1064095063.7099975,1058670370.7799991,1085581463.8699994,1112981784.099998,1220094592.0899985,1308156453.2299995,1353215736.5000002,1397511051.0700011,1451469136.5000045,1557973313.4200027,1691328176.5500002,1741447249.519998,1794130104.5299997,1909322828.0399997,1949161181.9500005,25392161701.47996
Culture & Recreation,197467444.18999964,252997163.21999994,289911445.9100002,248809992.91,414004490.9899997,177290282.54000023,181521486.30000007,199667677.68000033,222739944.44000012,242887328.62000036,249870132.39999968,255602947.20999986,260833579.93999952,273390451.4900009,282199846.13000035,295983363.16000044,313605424.3499999,466050522.299999,360018275.9199995,5184851799.699952
General Administration & Finance,825176584.3000022,972121185.3099979,1015376968.8600044,1071318949.1399992,1141090862.36,1259536934.7399971,1283862704.3100007,1409196722.2799983,1552261942.2100008,1709466416.5200047,1768776236.7800016,1806279872.0200016,1975116068.9800017,2109689486.7900019,2144975478.7200012,2240198618.84001,2394365501.1800003,2682615404.6699953,2876694064.349998,32238120002.36018
General City Responsibilities,171733674.08,174540269.92999995,183701970.82,288980717.89000005,233966375.7999999,311036000.73000014,246832470.80999997,235146390.85999995,251169945.86000004,274165156.9,290579445.73999995,343322676.6600001,345781313.40999997,362158494.31,324336090.57000005,367238643.42000014,391283695.6900001,414299839.6699998,428039305.0399998,5638312478.190004
Human Welfare & Neighborhood Development,463860029.4100001,441069339.5999999,508227829.5799998,559160455.2299997,613705021.6199996,681150018.3099995,673000079.400001,748713326.1999991,814433151.569999,904182279.420001,943589183.2599988,990222213.5300004,940037212.9699999,958480821.4300011,1070583622.9799997,1131055284.8200004,1202185527.410001,1317163525.6100004,1423495149.7000003,16384314072.050056
Public Protection,685042030.9799992,771135648.5599984,822840718.8899977,823103774.3799989,874827834.0800021,826260911.2500007,886684542.0899987,963700998.730002,1028381150.7299988,1118818556.5499976,1113571483.6200001,1138246991.9399998,1151597194.7799983,1199352642.3999968,1267413247.88,1295625164.4900014,1333975773.0800004,1398936149.049999,1461444672.829999,20160959486.310158
"Public Works, Transportation & Commerce",2481711032.6900077,2456950934.6299953,2656388794.549998,2455332258.859998,2342222811.2000003,2238239612.170002,2157587895.360004,2363097410.6200075,2786992592.9500027,2762878714.9000115,2896900268.520012,3254778177.549989,3613409398.5700126,4004832430.149987,4235159410.239997,4641049817.250006,4180932008.789983,4433689710.240001,4118237607.920012,60080390887.16013
