Fiscal Year,Amount
1999,186243126.02999997
2000,197155274.32999992
2001,210508945.18999997
2002,222193748.57999995
2003,248675601.73
2004,241543047.80999997
2005,253127055.61999995
2006,271992238.8800001
2007,289477003.96
2008,321042717.7699999
2009,336283972.7300002
2010,331466349.45000005
2011,329950334.58
2012,343093165.89000005
2013,360546331.74
2014,355040552.82000005
2015,354580526.0899999
2016,380121886.0100001
2017,393709670.0499999
