Fiscal Year,Amount
1999,854337.17
2000,747633.43
2001,1401934.46
2002,1203402.1199999999
2003,344446.74000000005
2004,439084.72
2005,102472.86
2006,980575.1699999999
2007,324477.62
2008,365406.16000000003
2009,-15118.709999999963
2010,193213.90000000002
2011,257467.83000000002
2012,414160.01
2013,404416.22
2014,480829.74
2015,391217.95999999996
2016,1373573.29
2017,124606.94000000002
