Fiscal Year,Amount
1999,247022481.9700001
2000,265107153.82999998
2001,288534061.99999976
2002,291171721.1099998
2003,309502444.9399998
2004,293262718.1299998
2005,311464150.0700001
2006,342616136.29000056
2007,369588974.3499998
2008,408763206.75999993
2009,426146834.7100003
2010,443087861.1999997
2011,448718777.64000016
2012,469656167.6400002
2013,498854658.96999955
2014,508885827.2799999
2015,519438259.8700001
2016,550224385.8100001
2017,574011035.6799995
